Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice_LassoModel_Predicted
1816,30,RM,60.0,8520,Pave,,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,5,8,1923,1950,Gable,CompShg,Stucco,Stucco,,0.0,Gd,TA,PConc,Fa,TA,No,Unf,0.0,Unf,0.0,624.0,624.0,GasA,TA,Y,SBrkr,792,0,0,792,0.0,0.0,1,0,2,1,TA,5,Typ,0,,Detchd,1963.0,Unf,1.0,287.0,TA,TA,Y,0,0,81,0,0,0,,GdWo,,0,2,2009,WD,Normal,104065.33622172005
1817,70,RM,60.0,9600,Pave,,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,4,4,1910,1950,Gable,CompShg,VinylSd,VinylSd,,0.0,Gd,Gd,BrkTil,Fa,TA,No,Unf,0.0,Unf,0.0,677.0,677.0,GasA,TA,Y,SBrkr,833,677,0,1510,0.0,0.0,2,0,3,1,Gd,7,Typ,0,,Detchd,1974.0,Unf,2.0,720.0,TA,TA,N,0,0,160,0,0,0,,,,0,6,2009,WD,Normal,104214.42247781227
1818,70,RM,70.0,8400,Pave,,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Artery,Norm,1Fam,2Story,6,7,1900,1950,Gable,CompShg,Stucco,BrkFace,,0.0,TA,TA,BrkTil,Fa,Gd,Mn,Unf,0.0,Unf,0.0,917.0,917.0,GasA,Gd,Y,FuseA,1090,917,0,2007,0.0,0.0,2,0,3,1,Ex,8,Typ,0,,Detchd,1930.0,Unf,1.0,357.0,TA,TA,Y,0,235,0,0,0,0,,,,0,6,2009,WD,Normal,179231.6067141843
1819,70,RM,60.0,3600,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,6,7,1917,2007,Gable,CompShg,Stucco,Stucco,,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,624.0,624.0,GasA,Ex,Y,SBrkr,664,624,0,1288,1.0,0.0,1,0,3,1,Ex,5,Typ,1,Gd,Attchd,1917.0,Unf,1.0,280.0,TA,TA,N,0,103,0,0,0,0,,,,0,5,2009,WD,Normal,150028.2018786327
1820,30,C (all),,3300,Pave,,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,4,3,1910,1950,Gable,CompShg,Stucco,Stucco,,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,624.0,624.0,GasA,Ex,Y,SBrkr,816,0,0,816,0.0,0.0,1,0,2,1,TA,5,Typ,1,Gd,,,,0.0,0.0,,,N,0,33,0,0,0,0,,,,0,6,2009,WD,Normal,53407.05837088062
1821,50,RM,60.0,5400,Pave,,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,6,6,1920,1950,Gable,CompShg,MetalSd,MetalSd,,0.0,Fa,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,972.0,972.0,GasA,Ex,Y,SBrkr,1044,0,436,1480,0.0,0.0,1,0,3,1,TA,6,Typ,0,,Detchd,1920.0,Unf,1.0,207.0,Fa,TA,Y,0,0,176,0,0,0,,,,0,9,2009,ConLI,Family,124593.8134893878
1822,70,RM,60.0,9720,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,6,7,1910,2002,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,TA,PConc,TA,TA,No,Unf,0.0,Unf,0.0,741.0,741.0,GasA,Ex,Y,SBrkr,780,741,0,1521,0.0,0.0,1,0,4,1,Gd,8,Typ,0,,Detchd,1950.0,Unf,3.0,640.0,TA,TA,Y,0,0,238,0,0,0,,MnPrv,,0,9,2009,WD,Normal,150701.4156876077
1823,30,C (all),72.0,9392,Pave,,Reg,Lvl,AllPub,Corner,Gtl,IDOTRR,Norm,Norm,1Fam,1Story,3,3,1900,1950,Mansard,CompShg,AsbShng,AsbShng,,0.0,TA,Fa,CBlock,Fa,TA,No,Unf,0.0,Unf,0.0,245.0,245.0,GasA,TA,N,SBrkr,797,0,0,797,0.0,0.0,1,0,2,1,TA,5,Typ,0,,,,,0.0,0.0,,,N,0,36,94,0,0,0,,,,0,9,2009,WD,Abnorml,35099.206012226656
1824,30,RL,,6615,Pave,,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1Story,6,6,1923,1950,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,1022.0,1022.0,GasA,TA,N,FuseA,1432,0,0,1432,0.0,0.0,1,0,3,1,Gd,6,Typ,1,Gd,BuiltIn,1923.0,Unf,1.0,216.0,Fa,TA,Y,266,61,0,0,0,0,,GdWo,,0,9,2009,WD,Normal,146512.64821925564
1825,70,RL,50.0,4960,Pave,,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,RRAn,Norm,1Fam,1.5Fin,5,7,1930,1982,Gable,CompShg,WdShing,Wd Shng,,0.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,297.0,297.0,GasA,Ex,Y,SBrkr,1001,653,0,1654,0.0,0.0,2,0,3,1,TA,7,Typ,1,Gd,Detchd,1955.0,Unf,1.0,336.0,TA,TA,N,244,60,0,0,0,0,,,,0,5,2009,WD,Normal,151119.97479184737
1826,50,RM,60.0,6000,Pave,,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,5,5,1924,1950,Gable,CompShg,Stucco,Stucco,BrkFace,444.0,TA,TA,BrkTil,TA,TA,No,Rec,220.0,Unf,0.0,248.0,468.0,GasA,Gd,Y,SBrkr,822,320,0,1142,0.0,0.0,1,0,3,1,TA,6,Typ,0,,Attchd,1924.0,Fin,1.0,320.0,TA,TA,Y,0,0,98,0,0,0,,,,0,6,2009,WD,Normal,104634.53938016179
1827,30,RM,51.0,6120,Pave,,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1Story,5,6,1925,1999,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,960.0,960.0,GasA,Gd,Y,SBrkr,995,0,0,995,0.0,0.0,1,0,2,1,TA,5,Typ,0,,Detchd,1926.0,Unf,1.0,264.0,TA,TA,Y,0,15,51,0,0,0,,MnPrv,,0,3,2009,WD,Abnorml,97761.24551183893
1828,50,RM,51.0,6120,Pave,,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,5,6,1938,1950,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,TA,BrkTil,TA,Fa,No,LwQ,273.0,Unf,0.0,679.0,952.0,GasA,TA,Y,FuseA,994,588,0,1582,0.0,0.0,2,0,3,1,TA,6,Typ,1,Gd,Detchd,1938.0,Unf,1.0,250.0,Fa,TA,Y,189,0,34,150,0,0,,,,0,2,2009,WD,Normal,136081.77298113366
1829,30,RM,50.0,8635,Pave,,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1Story,5,5,1925,1950,Hip,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,Fa,BrkTil,TA,TA,No,LwQ,134.0,Unf,0.0,938.0,1072.0,GasA,TA,Y,SBrkr,1072,0,0,1072,1.0,0.0,1,0,2,1,TA,5,Typ,0,,Detchd,1982.0,Unf,5.0,1184.0,Fa,TA,P,0,0,105,0,0,0,,,,0,8,2009,WD,Normal,135257.1916839191
1830,70,RM,57.0,8094,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,6,6,1915,1950,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,TA,PConc,TA,TA,No,Unf,0.0,Unf,0.0,1048.0,1048.0,GasA,Gd,Y,FuseA,1048,720,0,1768,0.0,0.0,2,0,3,1,TA,8,Typ,0,,Detchd,1930.0,Unf,2.0,576.0,Fa,Fa,Y,0,0,150,0,0,0,,,,0,6,2009,WD,Normal,148243.96678730595
1831,70,RM,68.0,9928,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,7,8,1915,1994,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,Gd,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,672.0,672.0,GasA,Fa,Y,SBrkr,1272,672,0,1944,0.0,0.0,2,0,3,1,TA,8,Min2,0,,Detchd,1915.0,Unf,1.0,216.0,TA,TA,N,24,28,0,0,0,0,,,Shed,400,6,2009,WD,Normal,161707.99162155506
1832,90,RM,50.0,3000,Pave,Grvl,Reg,Bnk,AllPub,Inside,Gtl,OldTown,Norm,Norm,Duplex,2Story,5,1,1922,1950,Hip,CompShg,MetalSd,MetalSd,,0.0,TA,TA,BrkTil,TA,Fa,No,Unf,0.0,Unf,0.0,1040.0,1040.0,GasA,TA,N,SBrkr,1088,1040,0,2128,0.0,0.0,2,0,4,2,TA,11,Sev,0,,,,,0.0,0.0,,,Y,0,56,0,0,0,0,,,,0,9,2009,WD,Abnorml,85643.19001711273
1833,70,RM,57.0,6876,Pave,,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,2Story,6,5,1927,1950,Gable,CompShg,Plywood,Plywood,,0.0,TA,TA,CBlock,TA,Fa,No,BLQ,522.0,Unf,0.0,198.0,720.0,GasA,Fa,Y,SBrkr,1146,784,0,1930,1.0,0.0,2,0,4,1,TA,8,Typ,0,,Attchd,1927.0,Unf,1.0,316.0,TA,TA,Y,0,0,213,0,0,0,,MnPrv,,0,8,2009,WD,Normal,155353.00448141395
1834,70,RM,,5775,Pave,,IR2,Bnk,AllPub,Corner,Mod,OldTown,Feedr,Norm,1Fam,2Story,6,7,1915,2002,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,483.0,483.0,GasA,Ex,Y,SBrkr,741,686,0,1427,0.0,0.0,1,0,3,1,Gd,7,Typ,0,,Attchd,1915.0,Unf,1.0,379.0,TA,TA,Y,0,24,112,0,0,0,,,,0,2,2009,WD,Normal,121363.28370280107
1835,190,RM,41.0,5852,Pave,,IR3,Bnk,AllPub,Corner,Gtl,OldTown,Feedr,Norm,2fmCon,2.5Unf,7,5,1902,2000,Gable,CompShg,MetalSd,MetalSd,Stone,188.0,TA,Fa,BrkTil,TA,Fa,No,Rec,169.0,Unf,0.0,851.0,1020.0,GasA,TA,N,FuseF,978,886,0,1864,0.0,0.0,2,1,6,1,TA,9,Typ,0,,,,,0.0,0.0,,,N,0,188,102,0,0,0,,,,0,5,2009,WD,Normal,111584.90749841748
1836,50,RM,60.0,5160,Pave,,Reg,Lvl,AllPub,Corner,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Fin,6,6,1927,1950,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,Fa,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,1204.0,1204.0,GasA,TA,Y,FuseA,1204,462,0,1666,0.0,0.0,1,0,3,1,TA,4,Typ,0,,Detchd,1927.0,Unf,1.0,384.0,Fa,TA,Y,0,0,148,0,0,0,,,,0,8,2009,WD,Normal,137092.2794433106
1837,85,RM,86.0,5160,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,SFoyer,4,6,1923,1950,Hip,CompShg,MetalSd,MetalSd,,0.0,TA,Gd,PConc,Gd,Fa,Av,BLQ,749.0,Rec,63.0,46.0,858.0,GasA,TA,Y,SBrkr,892,0,0,892,1.0,0.0,1,0,1,1,Gd,5,Min2,0,,,,,0.0,0.0,,,N,0,0,105,0,160,0,,,,0,7,2009,COD,Abnorml,71019.98213389813
1838,190,RM,60.0,10320,Pave,Grvl,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Artery,Norm,2fmCon,2Story,6,7,1915,1965,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,Gd,CBlock,TA,TA,No,Rec,276.0,ALQ,262.0,160.0,698.0,GasA,Ex,Y,FuseF,754,649,0,1403,1.0,0.0,1,1,3,1,TA,7,Typ,0,,Detchd,1915.0,Unf,1.0,308.0,TA,TA,Y,0,0,288,0,0,0,,,,0,2,2009,WD,Normal,107876.73443979677
1839,20,RL,50.0,4280,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,4,9,1946,2001,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,Gd,CBlock,Fa,TA,No,Unf,0.0,Unf,0.0,560.0,560.0,GasA,Ex,Y,FuseA,704,0,0,704,0.0,1.0,1,0,2,1,Fa,4,Typ,0,,CarPort,1946.0,Unf,1.0,220.0,TA,TA,Y,0,0,24,0,0,0,,,,0,9,2009,WD,Normal,99349.5061308186
1840,90,RL,60.0,10800,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,5,5,1987,1988,Gable,CompShg,Plywood,Plywood,,0.0,TA,Gd,CBlock,Gd,Gd,Gd,GLQ,1200.0,Unf,0.0,0.0,1200.0,GasA,TA,Y,SBrkr,1200,0,0,1200,3.0,0.0,3,0,3,1,TA,5,Typ,0,,,,,0.0,0.0,,,Y,120,0,0,0,0,0,,,,0,3,2009,WD,Alloca,159800.90597943089
1841,90,RL,,10547,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,SFoyer,5,5,1978,1978,Gable,CompShg,Plywood,Plywood,,0.0,TA,TA,PConc,Gd,Gd,Gd,GLQ,1152.0,Unf,0.0,0.0,1152.0,GasA,TA,Y,SBrkr,1152,0,0,1152,2.0,0.0,2,0,2,2,TA,6,Typ,0,,Detchd,1960.0,Unf,1.0,252.0,TA,Fa,N,0,0,0,0,0,0,,,,0,7,2009,WD,Normal,151999.5704530383
1842,50,RL,60.0,9780,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,5,3,1934,1950,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,TA,PConc,TA,TA,No,Unf,0.0,Unf,0.0,585.0,585.0,GasA,TA,N,FuseA,687,425,0,1112,1.0,0.0,2,0,4,1,TA,6,Typ,0,,Detchd,1934.0,Unf,1.0,226.0,Po,Po,N,0,0,0,0,0,0,,,,0,3,2009,WD,Normal,92918.74812813569
1843,20,RL,75.0,11625,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1967,1967,Hip,CompShg,HdBoard,HdBoard,BrkFace,172.0,TA,TA,CBlock,TA,TA,No,BLQ,527.0,Unf,0.0,525.0,1052.0,GasA,TA,Y,SBrkr,1052,0,0,1052,0.0,0.0,1,1,3,1,TA,6,Typ,1,Po,Attchd,1984.0,Fin,1.0,668.0,TA,TA,Y,0,215,0,0,0,0,,,,0,4,2009,WD,Abnorml,118475.56211927856
1844,85,RL,,8014,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,SFoyer,6,5,1978,1978,Gable,CompShg,Plywood,HdBoard,BrkFace,23.0,TA,TA,CBlock,Gd,TA,Gd,GLQ,456.0,Unf,0.0,0.0,456.0,GasA,TA,Y,SBrkr,1034,0,0,1034,0.0,1.0,1,0,3,1,TA,5,Typ,1,Fa,Basment,1978.0,Fin,2.0,504.0,TA,TA,Y,0,0,0,0,0,0,,,,0,6,2009,WD,Normal,146848.56908173388
1845,80,RL,88.0,15400,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,SLvl,5,5,1961,1961,Hip,CompShg,HdBoard,HdBoard,,0.0,TA,TA,CBlock,TA,Gd,No,Unf,0.0,Unf,0.0,552.0,552.0,GasA,TA,Y,SBrkr,904,611,259,1774,0.0,0.0,2,0,4,1,TA,8,Typ,1,TA,Attchd,1961.0,Unf,1.0,384.0,TA,TA,Y,290,40,0,0,0,0,,,,0,7,2009,WD,Normal,146089.32057721593
1846,80,RL,88.0,15312,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,SLvl,6,5,1960,1960,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,54.0,TA,TA,CBlock,TA,TA,Av,BLQ,588.0,Unf,0.0,550.0,1138.0,GasA,Ex,Y,SBrkr,1138,0,0,1138,0.0,1.0,1,0,3,1,TA,6,Typ,1,TA,Attchd,1960.0,RFn,2.0,480.0,TA,TA,Y,0,0,0,0,140,0,,MnPrv,,0,3,2009,COD,Normal,140203.67977374743
1847,80,RL,,15584,Pave,,Reg,Lvl,AllPub,Inside,Gtl,ClearCr,Norm,Norm,1Fam,SLvl,5,5,1956,1956,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,366.0,TA,TA,CBlock,TA,TA,Mn,Unf,0.0,Unf,0.0,825.0,825.0,GasA,Ex,Y,SBrkr,2071,0,0,2071,0.0,1.0,1,1,4,1,TA,9,Typ,1,TA,Attchd,1956.0,Unf,1.0,336.0,TA,TA,Y,131,28,0,0,0,0,,,,0,10,2009,WD,Normal,182615.918319978
1848,20,RL,,9000,Pave,,Reg,Lvl,AllPub,Corner,Gtl,Sawyer,Norm,Norm,1Fam,1Story,2,2,1947,1950,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,TA,Slab,,,,,0.0,,0.0,0.0,0.0,GasA,Fa,N,SBrkr,660,0,0,660,0.0,0.0,1,0,2,1,Fa,5,Min2,0,,,,,0.0,0.0,,,N,0,0,100,0,0,0,,,,0,6,2009,WD,Normal,16718.587099199387
1849,20,RL,,15635,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,Edwards,Norm,Norm,1Fam,1Story,4,5,1954,1954,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,TA,CBlock,,,,,0.0,,0.0,0.0,0.0,GasA,TA,Y,SBrkr,1383,0,0,1383,0.0,0.0,1,0,2,1,TA,6,Mod,0,,Attchd,1980.0,Unf,2.0,498.0,Fa,TA,Y,0,0,90,0,110,0,,,,0,10,2009,WD,Normal,117844.36805490784
1850,20,RL,68.0,9571,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,5,1956,1956,Hip,CompShg,MetalSd,MetalSd,,0.0,TA,TA,CBlock,TA,TA,No,Rec,257.0,Unf,0.0,816.0,1073.0,GasA,TA,Y,FuseA,1073,0,0,1073,1.0,0.0,1,0,2,1,TA,5,Typ,0,,Attchd,1956.0,Unf,1.0,340.0,TA,TA,Y,0,0,0,0,0,0,,GdPrv,,0,2,2009,WD,Normal,113311.0346804772
1851,60,RL,50.0,9350,Pave,,Reg,Bnk,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,2Story,6,7,1946,1950,Hip,CompShg,MetalSd,MetalSd,,0.0,TA,TA,CBlock,TA,TA,No,BLQ,342.0,Unf,0.0,405.0,747.0,GasA,Ex,Y,SBrkr,892,747,0,1639,0.0,0.0,1,1,3,1,Gd,6,Typ,1,Gd,Detchd,1946.0,Unf,1.0,240.0,TA,TA,Y,0,50,0,0,0,0,,,,0,7,2009,WD,Normal,151004.473490279
1852,20,RL,62.0,7440,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,6,1954,1954,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,TA,CBlock,Gd,TA,No,BLQ,173.0,Unf,0.0,916.0,1089.0,GasW,TA,Y,SBrkr,1089,0,0,1089,1.0,0.0,1,0,3,1,TA,5,Typ,1,Gd,Detchd,1954.0,RFn,1.0,252.0,TA,TA,P,328,0,0,0,0,0,,MnPrv,,0,9,2009,WD,Normal,127602.04900941906
1853,120,RL,42.0,4235,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,TwnhsE,1Story,5,5,1984,1984,Gable,CompShg,HdBoard,HdBoard,BrkFace,149.0,Gd,TA,CBlock,Gd,TA,Mn,GLQ,552.0,ALQ,393.0,104.0,1049.0,GasA,TA,Y,SBrkr,1049,0,0,1049,1.0,0.0,2,0,2,1,Gd,5,Typ,0,,Attchd,1984.0,Fin,1.0,266.0,TA,TA,Y,0,105,0,0,0,0,,,,0,2,2009,WD,Normal,117071.93656144709
1854,80,RL,74.0,10778,Pave,,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Feedr,Norm,1Fam,SLvl,7,6,1990,1991,Gable,CompShg,HdBoard,HdBoard,,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,460.0,ALQ,286.0,308.0,1054.0,GasA,Gd,Y,SBrkr,1061,0,0,1061,1.0,0.0,1,1,1,1,Gd,4,Typ,0,,Attchd,1990.0,Unf,2.0,462.0,TA,TA,Y,114,36,0,0,0,0,,,,0,7,2009,WD,Normal,165896.06102686602
1855,80,RL,66.0,19255,Pave,,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,SLvl,6,5,1983,1983,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,100.0,Gd,TA,CBlock,Gd,TA,Av,Rec,70.0,GLQ,450.0,0.0,520.0,GasA,Gd,Y,SBrkr,1338,0,0,1338,0.0,0.0,1,1,2,1,Gd,5,Min2,1,Po,Attchd,1983.0,Unf,2.0,576.0,TA,TA,Y,0,0,0,0,0,0,,,Shed,600,9,2009,WD,Normal,151558.79274280285
1856,60,RL,85.0,10560,Pave,,Reg,Lvl,AllPub,Corner,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,5,1993,1994,Gable,CompShg,VinylSd,VinylSd,,0.0,Gd,Gd,PConc,Gd,Gd,No,GLQ,474.0,Unf,0.0,605.0,1079.0,GasA,Ex,Y,SBrkr,1079,800,0,1879,1.0,0.0,2,1,3,1,Gd,8,Typ,1,TA,Attchd,1993.0,RFn,2.0,473.0,TA,TA,Y,400,100,144,0,0,0,,MnPrv,,0,8,2009,WD,Normal,218754.1158588979
1857,70,RL,120.0,26400,Pave,,Reg,Bnk,AllPub,FR2,Gtl,SawyerW,Feedr,Norm,1Fam,2Story,5,7,1880,2007,Gable,CompShg,HdBoard,HdBoard,,0.0,Gd,TA,PConc,,,,,0.0,,0.0,0.0,0.0,GasA,Ex,Y,SBrkr,1288,728,0,2016,0.0,0.0,1,0,4,1,TA,7,Mod,1,TA,Attchd,1900.0,Unf,2.0,576.0,TA,TA,P,0,0,0,0,0,0,,,,0,6,2009,WD,Normal,147052.3740362373
1858,90,RL,64.0,7018,Pave,,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Feedr,Norm,Duplex,2Story,5,5,1979,1979,Gable,CompShg,HdBoard,HdBoard,,0.0,TA,TA,Slab,,,,,0.0,,0.0,0.0,0.0,GasA,TA,Y,SBrkr,1114,1114,0,2228,0.0,0.0,2,0,6,2,TA,8,Typ,0,,Detchd,1979.0,Unf,2.0,720.0,TA,TA,Y,73,0,0,0,0,0,,,,0,6,2009,WD,Alloca,175973.32444420384
1859,90,RL,64.0,7018,Pave,,Reg,Bnk,AllPub,Inside,Gtl,SawyerW,Norm,Norm,Duplex,1Story,5,5,1979,1979,Gable,CompShg,HdBoard,HdBoard,,0.0,TA,TA,Slab,,,,,0.0,,0.0,0.0,0.0,GasA,TA,Y,SBrkr,1535,0,0,1535,0.0,0.0,2,0,4,2,TA,8,Typ,0,,Attchd,1979.0,Unf,2.0,400.0,TA,TA,Y,0,0,0,0,0,0,,GdPrv,,0,6,2009,WD,Alloca,133852.59008768067
1860,90,RL,64.0,7040,Pave,,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Feedr,Norm,Duplex,SFoyer,5,5,1979,1979,Gable,CompShg,Plywood,Plywood,BrkFace,216.0,TA,TA,CBlock,Gd,TA,Av,GLQ,1094.0,Unf,0.0,0.0,1094.0,GasA,TA,Y,SBrkr,1229,0,0,1229,2.0,0.0,0,2,2,2,Gd,6,Typ,2,TA,Detchd,1979.0,Unf,2.0,672.0,TA,TA,Y,120,0,0,0,0,0,,,,0,6,2009,WD,Alloca,152976.13105476875
1861,90,RL,64.0,7007,Pave,,Reg,Bnk,AllPub,Inside,Gtl,SawyerW,Norm,Norm,Duplex,1Story,5,5,1979,1979,Gable,CompShg,HdBoard,HdBoard,,0.0,TA,TA,Slab,,,,,0.0,,0.0,0.0,0.0,GasA,TA,Y,SBrkr,1513,0,0,1513,0.0,0.0,2,0,4,2,TA,8,Typ,0,,Attchd,1979.0,Unf,2.0,400.0,TA,TA,Y,0,0,0,0,0,0,,,,0,6,2009,WD,Alloca,133445.68738830247
1862,90,RL,,11855,Pave,,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,Duplex,2Story,7,5,2000,2000,Hip,CompShg,VinylSd,VinylSd,BrkFace,23.0,TA,TA,PConc,Ex,TA,No,GLQ,820.0,Unf,0.0,348.0,1168.0,GasA,Ex,Y,SBrkr,1168,1619,0,2787,2.0,0.0,4,2,6,2,TA,8,Typ,2,TA,BuiltIn,2000.0,Fin,4.0,820.0,TA,TA,Y,312,0,0,0,0,0,,,,0,10,2009,WD,Normal,314444.192147034
1863,90,RL,,7939,Pave,,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Feedr,Norm,Duplex,2Story,7,5,2000,2000,Hip,CompShg,VinylSd,VinylSd,BrkFace,23.0,TA,TA,PConc,Ex,TA,No,GLQ,820.0,Unf,0.0,348.0,1168.0,GasA,Ex,Y,SBrkr,1168,1619,0,2787,2.0,0.0,4,2,6,2,TA,8,Typ,2,TA,BuiltIn,2000.0,Fin,4.0,820.0,TA,TA,Y,312,0,0,0,0,0,,,,0,10,2009,WD,Normal,312781.0851582193
1864,90,RL,,7976,Pave,,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Feedr,Norm,Duplex,2Story,7,5,2000,2000,Hip,CompShg,VinylSd,VinylSd,BrkFace,23.0,TA,TA,PConc,Ex,TA,No,GLQ,820.0,Unf,0.0,348.0,1168.0,GasA,Ex,Y,SBrkr,1168,1619,0,2787,2.0,0.0,4,2,6,2,TA,8,Typ,2,TA,BuiltIn,2000.0,Fin,4.0,820.0,TA,TA,Y,312,0,0,0,0,0,,,,0,10,2009,WD,Normal,312796.79888615245
